,Date,Open,High,Low,Price,Volume
403,2017-06-20,1652.05,1653.2,1630.0,1635.95,51083
404,2017-06-21,1630.0,1634.0,1616.0,1627.4,38315
405,2017-06-22,1634.9,1660.0,1632.6,1650.35,51076
406,2017-06-23,1658.1,1660.0,1642.55,1650.85,704911
407,2017-06-27,1651.0,1666.65,1640.6,1654.9,438285
408,2017-06-28,1655.9,1659.25,1620.2,1628.6,39741
409,2017-06-29,1635.0,1655.0,1621.4,1632.05,42476
410,2017-06-30,1622.7,1625.0,1608.0,1616.35,39382
411,2017-07-03,1615.0,1628.7,1601.55,1622.45,51891
412,2017-07-04,1622.0,1645.7,1616.55,1643.0,39320
413,2017-07-05,1641.0,1641.0,1622.95,1629.4,35294
414,2017-07-06,1629.0,1653.3,1625.0,1642.0,61958
415,2017-07-07,1650.0,1650.0,1617.05,1629.0,74615
416,2017-07-10,1645.0,1649.0,1621.25,1638.15,500465
417,2017-07-11,1639.95,1650.0,1630.0,1641.5,39188
418,2017-07-12,1646.0,1646.0,1626.5,1639.0,21438
419,2017-07-13,1639.0,1665.0,1639.0,1654.5,260335
420,2017-07-14,1649.9,1650.0,1638.05,1647.2,22069
421,2017-07-17,1648.3,1658.0,1646.45,1651.8,269976
422,2017-07-18,1656.0,1675.95,1648.0,1648.0,45955
423,2017-07-19,1658.1,1660.55,1642.7,1650.0,31665
424,2017-07-20,1664.0,1664.0,1642.85,1651.1,28850
425,2017-07-21,1653.0,1653.0,1625.4,1639.0,3805274
426,2017-07-24,1643.1,1643.95,1629.0,1635.0,48237
427,2017-07-25,1636.75,1637.0,1628.0,1632.3,2652494
428,2017-07-26,1633.0,1645.0,1622.4,1633.25,533008
429,2017-07-27,1644.0,1742.8,1643.0,1728.5,245615
430,2017-07-28,1719.0,1798.0,1709.5,1783.8,397132
431,2017-07-31,1783.0,1799.0,1752.0,1786.15,119641
432,2017-08-01,1791.7,1791.7,1754.1,1774.4,71734
